Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.00545957260258346,0.000931433524677438,0.174470476726156,0,0,0,17.3565409761331,0.314047024947542,0.000690509006425462,-1.15245317811928E-05,0.326508086292092,-6.35911772481029E-08,0.479949107885086,0,0,0,0,0,0,package://food_deli_description/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://food_deli_description/meshes/base_link.STL,,food_tray-1;food_tray-3;bottom_wall_protector_C-3;first_floor_wall_protector_B-2;first_floor_wall_protector_D-1;first_floor_wall_protector_C-2;bottom_wall_protector_B-3;robot_base-1;base_lid-1;2020_extrusion-5;base_lid_3-1;base_lid_2-1;2020_extrusion-3;base_plate_second_floor-1;emergency_switch_button-2/emergency_switch_button-1;emergency_switch_button-2/emergency_switch_case-1;first_floor_wall_protector_E-1;battery_lid-1;first_floor_wall_protector_C-1;bottom_wall_protector_B-4;first_floor_wall_protector_D-2;bottom_wall_protector_C-4;first_floor_wall_protector_B-1;first_floor_wall_protector_A-1;bottom_wall_protector_A-2;2020_extrusion-6;2020_extrusion-4;food_tray-2;Yahboom_15inch_screen-1;2020_extrusion-28;2020_extrusion-33;2020_extrusion-34;2020_extrusion-27;2020_extrusion-30;2020_extrusion-29;screen_holder-1;2020_extrusion-38;wheel_leg-2;wheel_leg-1,base_cs,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
right_wheel_link,3.16733048387328E-06,0.000277693667560031,-1.63803130575485E-05,0,0,0,0.556961639906774,0.00053249241554636,1.00838056258406E-11,-1.55501516868097E-08,0.000949392729714016,-4.98253108340275E-10,0.00053254574195992,0,0,0,0,0,0,package://food_deli_description/meshes/right_wheel_link.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://food_deli_description/meshes/right_wheel_link.STL,,THE_WHEEL-1;washer_big-1,rw_cs,rw_axis,right_wheel_base_joint,continuous,0.00017427,-0.225,-0.1475,0,0,0,base_link,0,1,0,,,,,,,,,,,,
left_wheel_link,-3.20839202108167E-06,-0.000277710670171072,-1.63097099627751E-05,0,0,0,0.556961983051716,0.000532492465227774,5.24690792513494E-12,1.56095288821988E-08,0.000949392763564117,5.06486492011345E-10,0.000532545726646262,0,0,0,0,0,0,package://food_deli_description/meshes/left_wheel_link.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://food_deli_description/meshes/left_wheel_link.STL,,THE_WHEEL-2;washer_big-2,lw_cs,lw_axis,left_wheel_base_joint,continuous,0.00017427,0.225,-0.1475,0,0,0,base_link,0,1,0,,,,,,,,,,,,
lidar_link,0.0120602388818924,-0.000532090380882048,-0.018864885396975,0,0,0,0.0730845765043001,1.95808776551824E-05,-1.03933505258985E-07,-4.28390902083657E-07,2.41250105408219E-05,9.4268915723935E-09,4.14184560423607E-05,0,0,0,0,0,0,package://food_deli_description/meshes/lidar_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://food_deli_description/meshes/lidar_link.STL,,RP_lidar_A1-1,lidar_cs,lidar_axis,lidar_base_link,fixed,0.17817,0,0.0406,0,0,0,base_link,0,0,0,,,,,,,,,,,,
camera_link,-0.0216896900191315,-0.0173731240086096,-0.00401517882301231,0,0,0,0.07588785913391,4.67746396948393E-05,2.61383173371617E-07,2.97154104394623E-07,6.81477203368761E-06,-3.56436774233995E-09,4.82012317109639E-05,0,0,0,0,0,0,package://food_deli_description/meshes/camera_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://food_deli_description/meshes/camera_link.STL,,camera_435_with_hinge-1/IntelRealsense_D435-1;camera_435_with_hinge-1/hinge_for_camera_2-1;socket button head screw_iso-7;camera_435_with_hinge-1/socket button head screw_iso-2;socket button head screw_iso-8;camera_435_with_hinge-1/hinge_for_camera_1-1;camera_435_with_hinge-1/torque nut 03_iso-1,camera_cs,,camera_base_joint,fixed,0.29559,0.0175,-0.034988,0,-0.07296,0,base_link,0,0,0,,,,,,,,,,,,
imu_link,-2.37116841404873E-09,0.00114358136354779,-0.00603761131060739,0,0,0,0.0250179510871718,7.77621091457401E-06,7.97264074856703E-19,1.58518255319349E-17,6.45006147287712E-06,-2.29887198300278E-07,1.13689682255133E-05,0,0,0,0,0,0,package://food_deli_description/meshes/imu_link.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://food_deli_description/meshes/imu_link.STL,,IMU_with_box-1/IMU_box-1;IMU_with_box-1/IMU_YB-MRA02-1,imu_cs,imu_axis,imu_base_joint,fixed,0.00017427,0,-0.092399,0,0,0,base_link,0,0,0,,,,,,,,,,,,
caster1_link,0.00852488174010285,-0.0135436219377933,0.0148618650999655,0,0,0,0.107797455234629,3.33168638647948E-05,1.49045589792846E-10,-1.72910741145957E-06,5.35364071531758E-05,-1.38257269248058E-10,4.52408836100978E-05,0,0,0,0,0,0,package://food_deli_description/meshes/caster1_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://food_deli_description/meshes/caster1_link.STL,,caster_wheels-1,caster1_cs,caster1_axis,c1_b_joint,fixed,-0.18433,-0.15597,-0.1805,0,0,0,base_link,0,0,0,,,,,,,,,,,,
caster2_link,0.0085248817401028,-0.013543621937793,0.0148618650999655,0,0,0,0.107797455234629,3.33168638647949E-05,1.49045589772927E-10,-1.72910741146011E-06,5.35364071531807E-05,-1.38257269245524E-10,4.52408836101027E-05,0,0,0,0,0,0,package://food_deli_description/meshes/caster2_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://food_deli_description/meshes/caster2_link.STL,,caster_wheels-2,caster2_cs,caster2_axis,c2_b_joint,fixed,-0.18433,0.18303,-0.1805,0,0,0,base_link,0,0,0,,,,,,,,,,,,
caster3_link,-0.00852488174010274,-0.0135073780622069,0.0148618650999655,0,0,0,0.107797455234629,3.33168638647948E-05,1.49045589785039E-10,1.72910741145981E-06,5.35364071531848E-05,1.3825726924505E-10,4.52408836101067E-05,0,0,0,0,0,0,package://food_deli_description/meshes/caster3_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://food_deli_description/meshes/caster3_link.STL,,caster_wheels-3,caster3_cs,caster3_axis,c3_b_joint,fixed,0.18467,-0.15597,-0.1805,0,0,0,base_link,0,0,0,,,,,,,,,,,,
caster4_link,-0.00852488174010285,-0.0135073780622068,0.0148618650999655,0,0,0,0.107797455234629,3.33168638647949E-05,1.49045589758903E-10,1.72910741146011E-06,5.35364071531811E-05,1.38257269282171E-10,4.52408836101031E-05,0,0,0,0,0,0,package://food_deli_description/meshes/caster4_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://food_deli_description/meshes/caster4_link.STL,,caster_wheels-4,caster4_cs,caster4_axis,c4_b_joint,fixed,0.18467,0.18303,-0.1805,0,0,0,base_link,0,0,0,,,,,,,,,,,,
